Ref,Val,Package,PosX,PosY,Rot,Side
"C66","270uF","CP_Elec_6.3x5.4",163.526220,-130.171240,-90.000000,bottom
"C67","270uF","CP_Elec_6.3x5.4",156.210000,-79.705200,-90.000000,bottom
"C68","270uF","CP_Elec_6.3x5.4",170.917620,-96.541240,-90.000000,bottom
"C69","270uF","CP_Elec_6.3x5.4",148.869400,-79.705200,-90.000000,bottom
"C70","270uF","CP_Elec_6.3x5.4",170.917620,-130.196640,-90.000000,bottom
"C71","270uF","CP_Elec_6.3x5.4",148.870420,-96.541240,-90.000000,bottom
"C72","270uF","CP_Elec_6.3x5.4",163.551620,-96.522916,-90.000000,bottom
"C73","270uF","CP_Elec_6.3x5.4",156.211020,-96.541240,-90.000000,bottom
"C98","22uF","CP_Elec_6.3x5.3",170.917620,-113.381640,-90.000000,bottom
"C99","22uF","CP_Elec_6.3x5.3",148.845020,-113.381640,-90.000000,bottom
"C100","22uF","CP_Elec_6.3x5.3",170.916600,-79.705200,-90.000000,bottom
"C101","22uF","CP_Elec_6.3x5.3",156.211020,-113.381640,-90.000000,bottom
"C102","22uF","CP_Elec_6.3x5.3",163.551620,-113.381640,-90.000000,bottom
"C103","22uF","CP_Elec_6.3x5.3",156.185620,-130.196640,-90.000000,bottom
"C104","22uF","CP_Elec_6.3x5.3",163.550600,-79.686876,-90.000000,bottom
"C105","22uF","CP_Elec_6.3x5.3",148.845020,-130.196640,-90.000000,bottom
"J1","USB 3.1 B","USB B 母座 直立",114.807680,-70.700900,180.000000,bottom
"J2","SWITCH","PinSocket_1x02_P1.27mm_Vertical",146.800334,-71.506782,0.000000,bottom
"J3","dc 5.5mm","DC socket 5.5mm",126.728220,-72.473820,-90.000000,bottom
"J9","fan2","PinSocket_1x02_P1.27mm_Vertical",154.609800,-71.669800,0.000000,bottom
"R43","100R 1%","R_0402",181.356000,-114.706400,0.000000,bottom
"U7","ZXDN10","ZXDN10",177.673000,-129.006600,90.000000,bottom
"C15","10uF","C_0603_1608Metric",164.922200,-69.745116,180.000000,top
"C16","10uF","C_0603_1608Metric",164.922200,-71.269116,180.000000,top
"C17","22uF","C_0603_1608Metric",167.212800,-70.486617,-90.000000,top
"C18","22uF","C_0603_1608Metric",169.722800,-70.486617,-90.000000,top
"C19","10uF","C_0603_1608Metric",172.021800,-71.278316,0.000000,top
"C20","10uF","C_0603_1608Metric",172.021800,-69.745116,0.000000,top
"C21","1uF","C_0402_1005Metric",124.073900,-95.435420,0.000000,top
"C22","33pF","C_0603_1608Metric",110.939580,-88.841580,0.000000,top
"C23","100nF","C_0603_1608Metric",110.952280,-90.357960,0.000000,top
"C24","100nF","C_0603_1608Metric",118.186200,-85.233720,-90.000000,top
"C25","100nF","C_0603_1608Metric",115.841780,-85.233720,-90.000000,top
"C26","100nF","C_0603_1608Metric",113.879340,-85.233720,-90.000000,top
"C27","100nF","C_0603_1608Metric",117.091460,-98.340120,90.000000,top
"C28","100nF","C_0603_1608Metric",124.073900,-92.991940,180.000000,top
"C29","100nF","C_0603_1608Metric",124.073900,-89.796420,180.000000,top
"C30","100nF","C_0603_1608Metric",110.942100,-92.390740,0.000000,top
"C31","33pF","C_0603_1608Metric",110.939580,-83.060540,0.000000,top
"C32","100nF","C_0603_1608Metric",120.644920,-98.340120,90.000000,top
"C33","100nF","C_0603_1608Metric",115.577620,-98.340120,90.000000,top
"C34","100nF","C_0603_1608Metric",124.073900,-91.315540,180.000000,top
"C35","100nF","C_0402_1005Metric",118.671340,-79.138780,-90.000000,top
"C36","100nF","C_0402_1005Metric",117.688360,-79.141320,-90.000000,top
"C37","0R","C_0402_1005Metric",111.922560,-79.137720,-90.000000,top
"C38","1uF","C_0402_1005Metric",112.354360,-98.340120,-90.000000,top
"C39","0R","C_0402_1005Metric",110.939580,-79.137720,-90.000000,top
"C40","10uF","C_0603_1608Metric",122.107500,-101.562460,90.000000,top
"C41","10nF","C_0402_1005Metric",112.054640,-109.855000,0.000000,top
"C42","10nF","C_0402_1005Metric",112.054640,-110.828280,0.000000,top
"C43","10nF","C_0402_1005Metric",112.054640,-107.696000,0.000000,top
"C44","10nF","C_0402_1005Metric",112.054640,-108.668820,0.000000,top
"C45","0.1uF","C_0603_1608Metric",123.628960,-101.560220,90.000000,top
"C46","100nF","C_0603_1608Metric",124.073900,-88.275160,180.000000,top
"C47","100nF","C_0603_1608Metric",119.126000,-98.340120,90.000000,top
"C48","25pF","C_0603_1608Metric",113.657223,-132.690912,45.000000,top
"C49","25pF","C_0603_1608Metric",109.579452,-128.615283,45.000000,top
"C50","100nF","C_0603_1608Metric",127.350220,-102.981760,0.000000,top
"C51","100nF","C_0603_1608Metric",117.363240,-112.589520,-90.000000,top
"C52","100nF","C_0603_1608Metric",126.613900,-118.633240,180.000000,top
"C53","100nF","C_0603_1608Metric",117.868700,-128.667720,90.000000,top
"C54","100nF","C_0603_1608Metric",110.497620,-119.382540,0.000000,top
"C55","100nF","C_0603_1608Metric",110.497620,-122.186700,0.000000,top
"C56","100nF","C_0603_1608Metric",114.330480,-112.592820,-90.000000,top
"C57","1uF","C_0402_1005Metric",122.161300,-128.667720,-90.000000,top
"C58","100nF","C_0603_1608Metric",126.621540,-117.116860,180.000000,top
"C59","100nF","C_0603_1608Metric",116.342160,-128.667720,90.000000,top
"C60","100nF","C_0603_1608Metric",119.331740,-112.589520,-90.000000,top
"C61","100nF","C_0603_1608Metric",115.844320,-112.592820,-90.000000,top
"C62","100nF","C_0603_1608Metric",110.497620,-117.858540,0.000000,top
"C63","100nF","C_0603_1608Metric",110.497620,-123.705620,0.000000,top
"C64","100nF","C_0603_1608Metric",119.400320,-128.667720,90.000000,top
"C65","100nF","C_0603_1608Metric",126.613900,-123.151900,180.000000,top
"C114","10nF","C_0402_1005Metric",136.519900,-82.815520,-90.000000,top
"C115","10nF","C_0402_1005Metric",137.789900,-82.824200,-90.000000,top
"C116","10nF","C_0402_1005Metric",140.329900,-82.824200,-90.000000,top
"C117","10nF","C_0402_1005Metric",141.599900,-82.824200,-90.000000,top
"C118","10nF","C_0402_1005Metric",136.525000,-116.431000,-90.000000,top
"C119","10nF","C_0402_1005Metric",137.795000,-116.431000,-90.000000,top
"C120","10nF","C_0402_1005Metric",140.335000,-116.431000,-90.000000,top
"C121","10nF","C_0402_1005Metric",141.605000,-116.431000,-90.000000,top
"C122","10nF","C_0402_1005Metric",136.519900,-133.285320,-90.000000,top
"C123","10nF","C_0402_1005Metric",137.789900,-133.296600,-90.000000,top
"C124","10nF","C_0402_1005Metric",140.329900,-133.296600,-90.000000,top
"C125","10nF","C_0402_1005Metric",141.605000,-133.296600,-90.000000,top
"C126","10nF","C_0402_1005Metric",136.519900,-99.585600,-90.000000,top
"C127","10nF","C_0402_1005Metric",137.789900,-99.585600,-90.000000,top
"C128","10nF","C_0402_1005Metric",140.329900,-99.585600,-90.000000,top
"C129","10nF","C_0402_1005Metric",141.599900,-99.585600,-90.000000,top
"C130","100nF","C_0603_1608Metric",126.613900,-121.627900,180.000000,top
"C131","100nF","C_0603_1608Metric",114.818160,-128.667720,90.000000,top
"C132","100nF","C_0603_1608Metric",120.916700,-128.667720,90.000000,top
"D1","LED","LED_0805_2012Metric",181.415600,-71.225900,90.000000,top
"D2","LED","LED_0805_2012Metric",181.415560,-77.471300,-90.000000,top
"D3","LED","LED_0805_2012Metric",181.415560,-111.117300,-90.000000,top
"D4","LED","LED_0805_2012Metric",181.415600,-104.871900,90.000000,top
"D5","LED","LED_0805_2012Metric",181.415560,-127.920300,-90.000000,top
"D6","LED","LED_0805_2012Metric",181.415600,-121.694900,90.000000,top
"D7","LED","LED_0805_2012Metric",181.415560,-94.294300,-90.000000,top
"D8","LED","LED_0805_2012Metric",181.415600,-88.048900,90.000000,top
"J4","SATA硬盘插头","SATA 29pin smd",132.242320,-79.034140,0.000000,top
"J5","SATA硬盘插头","SATA 29pin smd",132.242320,-112.694140,0.000000,top
"J6","SATA硬盘插头","SATA 29pin smd",132.242320,-129.517140,0.000000,top
"J7","SATA硬盘插头","SATA 29pin smd",132.242320,-95.864140,0.000000,top
"L3","1uH","L_Chilisin_BMRA00040420",159.592400,-71.308202,0.000000,top
"L4","2uH","L_Chilisin_BMRA00040420",177.342800,-71.308202,0.000000,top
"L5","4.7uH","L_Chilisin_BMRA00040420",118.460520,-102.389940,0.000000,top
"Q1","AO4407A","SOIC-8_3.9x4.9mm_Pitch1.27mm",142.163800,-71.822520,-90.000000,top
"Q2","AO4407A","SOIC-8_3.9x4.9mm_Pitch1.27mm",136.372600,-71.810000,-90.000000,top
"R15","100k","R_0402_1005Metric",163.347400,-74.889602,180.000000,top
"R16","43k","R_0402_1005Metric",163.347400,-73.873602,0.000000,top
"R17","600K","R_0402_1005Metric",165.285300,-74.889602,180.000000,top
"R18","712K","R_0402_1005Metric",165.285300,-73.873602,0.000000,top
"R19","600K","R_0402_1005Metric",171.653200,-74.864202,0.000000,top
"R20","140K","R_0402_1005Metric",171.653200,-73.848202,180.000000,top
"R21","100k","R_0402_1005Metric",173.576100,-74.864202,0.000000,top
"R22","43k","R_0402_1005Metric",173.576100,-73.848202,180.000000,top
"R23","100K","R_0402_1005Metric",124.073900,-94.449900,0.000000,top
"R24","330K","R_0402_1005Metric",114.320320,-98.340120,90.000000,top
"R25","4.7K","R_0402_1005Metric",113.337340,-98.340120,-90.000000,top
"R26","12K","R_0402_1005Metric",110.947200,-94.665800,180.000000,top
"R27","200R","R_0603_1608Metric",149.352000,-69.567560,-90.000000,top
"R28","12k","R_0402_1005Metric",110.497620,-120.924320,180.000000,top
"R29","4.7K","R_0402_1005Metric",123.154440,-128.667720,-90.000000,top
"R30","4.7K","R_0402_1005Metric",121.051320,-112.552480,90.000000,top
"R31","4.7K","R_0402_1005Metric",122.092720,-112.552480,90.000000,top
"R32","4.7K","R_0402_1005Metric",123.156980,-112.552480,90.000000,top
"R33","10k","R_0402_1005Metric",124.157740,-128.667720,-90.000000,top
"R34","4k","R_0603_1608Metric",152.072340,-69.567560,-90.000000,top
"R35","2k","R_0402",183.890900,-75.722480,180.000000,top
"R36","2k","R_0402",183.890900,-76.746100,180.000000,top
"R37","2k","R_0402",183.890900,-110.393480,180.000000,top
"R38","2k","R_0402",183.890900,-109.372400,180.000000,top
"R39","2k","R_0402",183.890900,-127.195580,180.000000,top
"R40","2k","R_0402",183.890900,-126.187200,180.000000,top
"R41","2k","R_0402",183.890900,-93.565980,180.000000,top
"R42","2k","R_0402",183.890900,-92.544900,180.000000,top
"R44","2k","R_0603",154.411432,-73.736200,180.000000,top
"T1","T-BJT-NPN","SOT-23-3",150.705820,-72.842120,0.000000,top
"U3","~","SOT-23-8",168.452800,-73.696996,180.000000,top
"U4","~","SOIC-8_3.9x4.9mm_Pitch1.27mm",124.091700,-82.765020,-90.000000,top
"U5","~","QFN-48-1EP_6x6mm_P0.4mm_EP4.2x4.2mm_ThermalVias",117.512320,-91.787980,180.000000,top
"U6","~","SOIC-8_3.9x4.9mm_Pitch1.27mm",125.089920,-106.553000,0.000000,top
"Y1","Crystal_GND24_Small","Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm",110.939580,-85.951660,90.000000,top
"Y2","Crystal_GND24_Small","Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm",111.780320,-130.497580,135.000000,top
"jmb1","~","QFN-64-1EP_9x9mm_P0.5mm_EP3.4x3.4mm_ThermalVias",118.592600,-120.624600,180.000000,top
